Tipo;Bairro;Quartos;Vagas;Suites;Area;Condominio;Valor Bruto;Tipos agregado
Quitinete;Copacabana;1;0;0;40;500.0;2260.0;Apartamento
Casa;Jardim Botânico;2;0;1;100;;;casa
Conjunto Comercial/Sala;Barra da Tijuca;0;4;0;150;4020.0;10331.0;Apartamento
Apartamento;Centro;1;0;0;15;390.0;1210.0;Apartamento
Apartamento;Higienópolis;1;0;0;48;230.0;;Apartamento
Apartamento;Vista Alegre;3;1;0;70;;;Apartamento
Apartamento;Cachambi;2;0;0;50;301.0;1618.0;Apartamento
Casa de Condomínio;Barra da Tijuca;5;4;5;750;;;casa
Casa de Condomínio;Ramos;2;2;0;65;;;casa
Conjunto Comercial/Sala;Centro;0;3;0;695;19193.0;57223.0;Apartamento
Apartamento;Centro;1;0;0;36;;;Apartamento
Apartamento;Grajaú;2;1;0;70;642.0;2216.0;Apartamento
Apartamento;Lins de Vasconcelos;3;1;1;90;455.0;1969.0;Apartamento
Apartamento;Copacabana;1;0;1;40;561.0;2611.0;Apartamento
Quitinete;Copacabana;1;0;0;27;501.0;;Apartamento
Apartamento;Copacabana;4;3;1;243;2000.0;15803.0;Apartamento
Prédio Inteiro;Botafogo;0;0;0;536;;;Apartamento
Flat;Botafogo;3;1;1;80;1040.0;;Apartamento
Casa de Condomínio;Taquara;3;1;1;115;;;casa
Apartamento;Freguesia (Jacarepaguá);3;0;0;54;300.0;1278.0;Apartamento
Apartamento;Barra da Tijuca;2;1;1;67;589.0;2436.0;Apartamento
Apartamento;Tijuca;2;1;0;110;700.0;2738.0;Apartamento
Casa de Condomínio;Barra da Tijuca;4;3;2;466;2695.0;;casa
Apartamento;Olaria;3;1;0;68;670.0;;Apartamento
Apartamento;Tijuca;2;1;0;78;700.0;;Apartamento
Flat;Leblon;1;0;0;56;1900.0;7900.0;Apartamento
Conjunto Comercial/Sala;São Cristóvão;0;1;0;25;600.0;;Apartamento
Apartamento;Ipanema;3;1;1;125;2100.0;9563.0;Apartamento
Apartamento;Tijuca;1;0;0;48;772.0;1547.0;Apartamento
Loja/Salão;Campo Grande;0;1;0;35;950.0;;Apartamento
Apartamento;Barra da Tijuca;3;3;1;175;1500.0;6200.0;Apartamento
Casa;Campo Grande;4;1;2;400;;;casa
Apartamento;Botafogo;2;1;0;76;740.0;;Apartamento
Apartamento;Copacabana;3;1;2;378;2150.0;12850.0;Apartamento
Apartamento;Copacabana;3;0;0;180;1780.0;7700.0;Apartamento
Conjunto Comercial/Sala;Barra da Tijuca;0;1;0;22;;;Apartamento
Apartamento;Recreio dos Bandeirantes;3;1;1;105;648.0;;Apartamento
Apartamento;Leblon;3;1;0;110;1500.0;5520.0;Apartamento
Conjunto Comercial/Sala;Centro;0;5;0;1306;19486.0;;Apartamento
Quitinete;Copacabana;1;0;0;27;380.0;1733.0;Apartamento
Apartamento;Jardim Oceânico;3;3;1;200;1780.0;5776.0;Apartamento
Apartamento;Barra da Tijuca;3;1;2;70;1095.0;3035.0;Apartamento
Conjunto Comercial/Sala;Recreio dos Bandeirantes;0;1;0;50;250.0;;Apartamento
Apartamento;Copacabana;4;1;0;244;2500.0;11600.0;Apartamento
Apartamento;Barra da Tijuca;3;2;1;110;2000.0;6950.0;Apartamento
Conjunto Comercial/Sala;Centro;0;0;0;460;4797.0;14316.0;Apartamento
Conjunto Comercial/Sala;Centro;0;0;0;1170;23409.0;169717.0;Apartamento
Apartamento;Recreio dos Bandeirantes;2;2;2;90;1340.0;;Apartamento
Apartamento;Recreio dos Bandeirantes;3;2;2;100;380.0;;Apartamento
Apartamento;Barra da Tijuca;3;1;1;72;600.0;3020.0;Apartamento
Apartamento;Humaitá;2;2;1;180;2500.0;6800.0;Apartamento
Apartamento;Recreio dos Bandeirantes;3;1;2;92;840.0;3340.0;Apartamento
Conjunto Comercial/Sala;Centro;0;1;0;70;1080.0;3231.0;Apartamento
Conjunto Comercial/Sala;Jardim Botânico;0;1;0;50;1160.0;5360.0;Apartamento
Apartamento;Centro;1;0;0;27;371.0;1140.0;Apartamento
Apartamento;Ipanema;1;0;0;35;650.0;2725.0;Apartamento
Apartamento;Ipanema;1;0;0;38;530.0;2007.0;Apartamento
Apartamento;Recreio dos Bandeirantes;2;1;2;83;1160.0;2917.0;Apartamento
Loja/Salão;Copacabana;0;0;0;34;735.0;;Apartamento
Casa de Condomínio;Barra da Tijuca;5;10;5;1600;1600.0;;casa
Apartamento;Barra da Tijuca;4;3;3;153;2300.0;9234.0;Apartamento
Conjunto Comercial/Sala;Recreio dos Bandeirantes;0;0;0;84;1546.0;;Apartamento
Apartamento;Península;4;3;4;267;3100.0;21500.0;Apartamento
Apartamento;Ipanema;3;1;0;87;1305.0;4722.0;Apartamento
Apartamento;Méier;3;1;0;90;844.0;2474.0;Apartamento
Apartamento;Vargem Pequena;3;1;0;53;385.0;1813.0;Apartamento
Apartamento;Botafogo;3;1;1;108;1405.0;7644.0;Apartamento
Apartamento;Maracanã;2;0;0;86;600.0;2482.0;Apartamento
